,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Ordinary Shares Number,1107087991.0,1110418570.0,1112799116.0,1115814224.0,1119333622.0,
Share Issued,1107087991.0,1110418570.0,1112799116.0,1115814224.0,1119333622.0,
Total Debt,13489000000.0,13194000000.0,13121000000.0,13062000000.0,12778000000.0,
Tangible Book Value,10094000000.0,9264000000.0,8771000000.0,8408000000.0,8299000000.0,
Invested Capital,13059000000.0,12228000000.0,11733000000.0,11370000000.0,11259000000.0,
Working Capital,1841000000.0,1313000000.0,1970000000.0,1768000000.0,1983000000.0,
Net Tangible Assets,10094000000.0,9264000000.0,8771000000.0,8408000000.0,8299000000.0,
Capital Lease Obligations,10620000000.0,10325000000.0,10254000000.0,10195000000.0,9912000000.0,
Common Stock Equity,10190000000.0,9359000000.0,8866000000.0,8503000000.0,8393000000.0,
Total Capitalization,12060000000.0,11229000000.0,11733000000.0,11370000000.0,11259000000.0,
Total Equity Gross Minority Interest,10190000000.0,9359000000.0,8866000000.0,8503000000.0,8393000000.0,
Stockholders Equity,10190000000.0,9359000000.0,8866000000.0,8503000000.0,8393000000.0,
Gains Losses Not Affecting Retained Earnings,-351000000.0,-471000000.0,-445000000.0,-464000000.0,-609000000.0,
Other Equity Adjustments,-351000000.0,-471000000.0,-445000000.0,-464000000.0,-609000000.0,
Retained Earnings,9434000000.0,8720000000.0,8198000000.0,7851000000.0,7883000000.0,
Additional Paid In Capital,0.0,0.0,0.0,0.0,0.0,
Capital Stock,1107000000.0,1110000000.0,1113000000.0,1116000000.0,1119000000.0,
Common Stock,1107000000.0,1110000000.0,1113000000.0,1116000000.0,1119000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,25577000000.0,25829000000.0,24019000000.0,23355000000.0,23356000000.0,
Total Non Current Liabilities Net Minority Interest,12216000000.0,11828000000.0,12711000000.0,12528000000.0,12348000000.0,
Other Non Current Liabilities,30000000.0,1103000000.0,1042000000.0,972000000.0,18000000.0,
Employee Benefits,835000000.0,,,,730000000.0,
Non Current Deferred Liabilities,497000000.0,239000000.0,217000000.0,154000000.0,377000000.0,
Non Current Deferred Taxes Liabilities,497000000.0,239000000.0,217000000.0,154000000.0,377000000.0,
Long Term Debt And Capital Lease Obligation,10764000000.0,10486000000.0,11452000000.0,11402000000.0,11142000000.0,
Long Term Capital Lease Obligation,8894000000.0,8616000000.0,8585000000.0,8535000000.0,8276000000.0,
Long Term Debt,1870000000.0,1870000000.0,2867000000.0,2867000000.0,2866000000.0,
Long Term Provisions,90000000.0,,,,81000000.0,
Current Liabilities,13361000000.0,14001000000.0,11308000000.0,10827000000.0,11008000000.0,
Other Current Liabilities,1833000000.0,,,,1558000000.0,
Current Debt And Capital Lease Obligation,2725000000.0,2708000000.0,1669000000.0,1660000000.0,1636000000.0,
Current Capital Lease Obligation,1726000000.0,1709000000.0,1669000000.0,1660000000.0,1636000000.0,
Current Debt,999000000.0,999000000.0,,,,
Other Current Borrowings,999000000.0,999000000.0,,,,
Pensionand Other Post Retirement Benefit Plans Current,1727000000.0,,,,1370000000.0,
Payables And Accrued Expenses,7076000000.0,11293000000.0,9639000000.0,9167000000.0,6444000000.0,
Current Accrued Expenses,1624000000.0,5264000000.0,4776000000.0,4492000000.0,1463000000.0,
Payables,5452000000.0,6029000000.0,4863000000.0,4675000000.0,4981000000.0,
Dividends Payable,477000000.0,,,,427000000.0,
Total Tax Payable,400000000.0,92000000.0,165000000.0,261000000.0,297000000.0,
Income Tax Payable,170000000.0,92000000.0,165000000.0,261000000.0,75000000.0,
Accounts Payable,4575000000.0,5937000000.0,4698000000.0,4414000000.0,4257000000.0,
Total Assets,35767000000.0,35188000000.0,32885000000.0,31858000000.0,31749000000.0,
Total Non Current Assets,20565000000.0,19874000000.0,19607000000.0,19263000000.0,18758000000.0,
Other Non Current Assets,1772000000.0,1669000000.0,1617000000.0,1549000000.0,1529000000.0,
Non Current Deferred Assets,147000000.0,145000000.0,142000000.0,141000000.0,148000000.0,
Non Current Deferred Taxes Assets,147000000.0,145000000.0,142000000.0,141000000.0,148000000.0,
Goodwill And Other Intangible Assets,96000000.0,95000000.0,95000000.0,95000000.0,94000000.0,
Goodwill,96000000.0,95000000.0,95000000.0,95000000.0,94000000.0,
Net PPE,18550000000.0,17965000000.0,17753000000.0,17478000000.0,16987000000.0,
Accumulated Depreciation,-9587000000.0,,-9185000000.0,-8985000000.0,-8636000000.0,-8510000000.0
Gross PPE,28137000000.0,17965000000.0,26938000000.0,26463000000.0,25623000000.0,
Leases,5466000000.0,,5149000000.0,4944000000.0,4710000000.0,4670000000.0
Other Properties,10330000000.0,17965000000.0,9978000000.0,9924000000.0,9641000000.0,
Machinery Furniture Equipment,9519000000.0,,9171000000.0,8992000000.0,8714000000.0,8540000000.0
Land And Improvements,2822000000.0,,2640000000.0,2603000000.0,2558000000.0,2436000000.0
Properties,0.0,,0.0,0.0,0.0,0.0
Current Assets,15202000000.0,15314000000.0,13278000000.0,12595000000.0,12991000000.0,
Other Current Assets,1065000000.0,597000000.0,562000000.0,575000000.0,617000000.0,
Inventory,7297000000.0,9353000000.0,7372000000.0,7127000000.0,6421000000.0,
Finished Goods,7297000000.0,9353000000.0,7372000000.0,7127000000.0,6421000000.0,
Receivables,610000000.0,724000000.0,705000000.0,638000000.0,618000000.0,
Taxes Receivable,8000000.0,73000000.0,105000000.0,44000000.0,69000000.0,
Accounts Receivable,602000000.0,651000000.0,600000000.0,594000000.0,549000000.0,
Cash Cash Equivalents And Short Term Investments,6230000000.0,4640000000.0,4639000000.0,4255000000.0,5335000000.0,
Cash And Cash Equivalents,6230000000.0,4640000000.0,4639000000.0,4255000000.0,5335000000.0,
