,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.258159,0.247,0.245,0.23,0.259926
Normalized EBITDA,2736000000.0,2251000000.0,1973000000.0,1660000000.0,2215000000.0
Net Income From Continuing Operation Net Minority Interest,1773000000.0,1442000000.0,1243000000.0,1036000000.0,1398000000.0
Reconciled Depreciation,327000000.0,316000000.0,308000000.0,296000000.0,309000000.0
Reconciled Cost Of Revenue,12267000000.0,10190000000.0,9976000000.0,9246000000.0,11371000000.0
EBITDA,2736000000.0,2251000000.0,1973000000.0,1660000000.0,2215000000.0
EBIT,2409000000.0,1935000000.0,1665000000.0,1364000000.0,1906000000.0
Net Interest Income,36000000.0,28000000.0,27000000.0,30000000.0,42000000.0
Interest Expense,19000000.0,19000000.0,18000000.0,18000000.0,17000000.0
Interest Income,55000000.0,47000000.0,45000000.0,48000000.0,59000000.0
Normalized Income,1773000000.0,1442000000.0,1243000000.0,1036000000.0,1398000000.0
Net Income From Continuing And Discontinued Operation,1773000000.0,1442000000.0,1243000000.0,1036000000.0,1398000000.0
Total Expenses,15389000000.0,13229000000.0,12781000000.0,11795000000.0,14503000000.0
Diluted Average Shares,1125000000.0,1126000000.0,1128000000.0,1132000000.0,1138000000.0
Basic Average Shares,1107087991.0,1110418570.0,1112799116.0,1115814224.0,1119333622.0
Diluted EPS,1.58,1.28,1.1,0.92,1.23
Basic EPS,1.601499,1.295669,1.114183,0.927907,1.243597
Diluted NI Availto Com Stockholders,1773000000.0,1442000000.0,1243000000.0,1036000000.0,1398000000.0
Net Income Common Stockholders,1773000000.0,1442000000.0,1243000000.0,1036000000.0,1398000000.0
Net Income,1773000000.0,1442000000.0,1243000000.0,1036000000.0,1398000000.0
Net Income Including Noncontrolling Interests,1773000000.0,1442000000.0,1243000000.0,1036000000.0,1398000000.0
Net Income Continuous Operations,1773000000.0,1442000000.0,1243000000.0,1036000000.0,1398000000.0
Tax Provision,617000000.0,474000000.0,404000000.0,310000000.0,491000000.0
Pretax Income,2390000000.0,1916000000.0,1647000000.0,1346000000.0,1889000000.0
Net Non Operating Interest Income Expense,36000000.0,28000000.0,27000000.0,30000000.0,42000000.0
Interest Expense Non Operating,19000000.0,19000000.0,18000000.0,18000000.0,17000000.0
Interest Income Non Operating,55000000.0,47000000.0,45000000.0,48000000.0,59000000.0
Operating Income,2354000000.0,1888000000.0,1620000000.0,1316000000.0,1847000000.0
Operating Expense,3122000000.0,3039000000.0,2805000000.0,2549000000.0,3132000000.0
Selling General And Administration,3122000000.0,3039000000.0,2805000000.0,2549000000.0,3132000000.0
Gross Profit,5476000000.0,4927000000.0,4425000000.0,3865000000.0,4979000000.0
Cost Of Revenue,12267000000.0,10190000000.0,9976000000.0,9246000000.0,11371000000.0
Total Revenue,17743000000.0,15117000000.0,14401000000.0,13111000000.0,16350000000.0
Operating Revenue,17743000000.0,15117000000.0,14401000000.0,13111000000.0,16350000000.0
