,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1420000000.0,3990000000.0,146000000.0,664000000.0,2034000000.0,
Repayment Of Debt,-767000000.0,-687000000.0,-2847000000.0,-1349000000.0,-807000000.0,
Issuance Of Debt,1354000000.0,1182000000.0,2425000000.0,625000000.0,1384000000.0,
Capital Expenditure,-2393000000.0,-2248000000.0,-2394000000.0,-1492000000.0,-2780000000.0,
End Cash Position,17616000000.0,19584000000.0,16735000000.0,17250000000.0,17037000000.0,
Beginning Cash Position,19584000000.0,16735000000.0,17250000000.0,17037000000.0,18974000000.0,
Effect Of Exchange Rate Changes,37000000.0,-17000000.0,111000000.0,40000000.0,-133000000.0,
Changes In Cash,-2005000000.0,2866000000.0,-626000000.0,173000000.0,-1804000000.0,
Financing Cash Flow,710000000.0,983000000.0,-222000000.0,-332000000.0,985000000.0,
Cash Flow From Continuing Financing Activities,710000000.0,983000000.0,-222000000.0,-332000000.0,985000000.0,
Net Other Financing Charges,-23000000.0,-24000000.0,-15000000.0,79000000.0,-45000000.0,
Proceeds From Stock Option Exercised,146000000.0,512000000.0,215000000.0,313000000.0,453000000.0,
Net Issuance Payments Of Debt,587000000.0,495000000.0,-422000000.0,-724000000.0,577000000.0,
Net Long Term Debt Issuance,587000000.0,495000000.0,-422000000.0,-724000000.0,577000000.0,
Long Term Debt Payments,-767000000.0,-687000000.0,-2847000000.0,-1349000000.0,-807000000.0,
Long Term Debt Issuance,1354000000.0,1182000000.0,2425000000.0,625000000.0,1384000000.0,
Investing Cash Flow,-6528000000.0,-4355000000.0,-2944000000.0,-1651000000.0,-7603000000.0,
Cash Flow From Continuing Investing Activities,-6528000000.0,-4355000000.0,-2944000000.0,-1651000000.0,-7603000000.0,
Net Investment Purchase And Sale,-4135000000.0,-2107000000.0,-550000000.0,-159000000.0,-4823000000.0,
Sale Of Investment,8072000000.0,9295000000.0,6935000000.0,5856000000.0,10335000000.0,
Purchase Of Investment,-12207000000.0,-11402000000.0,-7485000000.0,-6015000000.0,-15158000000.0,
Net Business Purchase And Sale,,,,,0.0,0.0
Net PPE Purchase And Sale,-2393000000.0,-2248000000.0,-2394000000.0,-1492000000.0,-2780000000.0,
Purchase Of PPE,-2393000000.0,-2248000000.0,-2394000000.0,-1492000000.0,-2780000000.0,
Operating Cash Flow,3813000000.0,6238000000.0,2540000000.0,2156000000.0,4814000000.0,
Cash Flow From Continuing Operating Activities,3813000000.0,6238000000.0,2540000000.0,2156000000.0,4814000000.0,
Change In Working Capital,-214000000.0,2083000000.0,-673000000.0,-554000000.0,1030000000.0,
Change In Other Working Capital,-462000000.0,507000000.0,9000000.0,309000000.0,271000000.0,
Change In Other Current Assets,-79000000.0,-11000000.0,141000000.0,-76000000.0,-508000000.0,
Change In Payables And Accrued Expense,1397000000.0,1646000000.0,627000000.0,706000000.0,1084000000.0,
Change In Prepaid Assets,-901000000.0,-1143000000.0,-718000000.0,-419000000.0,-634000000.0,
Change In Inventory,-214000000.0,1991000000.0,-703000000.0,-1704000000.0,2044000000.0,
Change In Receivables,45000000.0,-907000000.0,-29000000.0,630000000.0,-1227000000.0,
Changes In Account Receivables,45000000.0,-907000000.0,-29000000.0,630000000.0,-1227000000.0,
Other Non Cash Items,37000000.0,162000000.0,27000000.0,46000000.0,89000000.0,
Stock Based Compensation,954000000.0,663000000.0,635000000.0,573000000.0,579000000.0,
Asset Impairment Charge,49000000.0,65000000.0,136000000.0,112000000.0,88000000.0,
Deferred Tax,-111000000.0,225000000.0,52000000.0,-43000000.0,59000000.0,
Deferred Income Tax,-111000000.0,225000000.0,52000000.0,-43000000.0,59000000.0,
Depreciation Amortization Depletion,1643000000.0,1625000000.0,1433000000.0,1447000000.0,1496000000.0,
Depreciation And Amortization,1643000000.0,1625000000.0,1433000000.0,1447000000.0,1496000000.0,
Depreciation,1643000000.0,1625000000.0,1433000000.0,1447000000.0,1496000000.0,
Operating Gains Losses,599000000.0,26000000.0,-260000000.0,155000000.0,-859000000.0,
Net Foreign Currency Exchange Gain Loss,292000000.0,106000000.0,24000000.0,30000000.0,-270000000.0,
Gain Loss On Sale Of PPE,307000000.0,,,125000000.0,,
Net Income From Continuing Operations,856000000.0,1389000000.0,1190000000.0,420000000.0,2332000000.0,
