,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-44580863.674852,-69020000.0,0.0,-27260000.0,-1098336.948662,
Tax Rate For Calcs,0.275191,0.29,0.23,0.29,0.156905,
Normalized EBITDA,3071000000.0,3898000000.0,3068000000.0,2221000000.0,4365000000.0,
Total Unusual Items,-162000000.0,-238000000.0,0.0,-94000000.0,-7000000.0,
Total Unusual Items Excluding Goodwill,-162000000.0,-238000000.0,0.0,-94000000.0,-7000000.0,
Net Income From Continuing Operation Net Minority Interest,840000000.0,1373000000.0,1172000000.0,409000000.0,2314000000.0,
Reconciled Depreciation,1643000000.0,1625000000.0,1433000000.0,1447000000.0,1496000000.0,
Reconciled Cost Of Revenue,19892000000.0,23041000000.0,18618000000.0,16182000000.0,21528000000.0,
EBITDA,2909000000.0,3660000000.0,3068000000.0,2127000000.0,4358000000.0,
EBIT,1266000000.0,2035000000.0,1635000000.0,680000000.0,2862000000.0,
Net Interest Income,364000000.0,363000000.0,306000000.0,309000000.0,346000000.0,
Interest Expense,85000000.0,76000000.0,86000000.0,91000000.0,96000000.0,
Interest Income,449000000.0,439000000.0,392000000.0,400000000.0,442000000.0,
Normalized Income,957419136.325148,1541980000.0,1172000000.0,475740000.0,2361901663.051338,
Net Income From Continuing And Discontinued Operation,840000000.0,1373000000.0,1172000000.0,409000000.0,2314000000.0,
Total Expenses,23330000000.0,26233000000.0,21573000000.0,18842000000.0,24117000000.0,
Rent Expense Supplemental,,,228000000.0,239000000.0,242000000.0,247000000.0
Total Operating Income As Reported,1409000000.0,1624000000.0,923000000.0,399000000.0,1583000000.0,
Diluted Average Shares,3539000000.0,3526000000.0,3519000000.0,3521000000.0,3517000000.0,
Basic Average Shares,3231000000.0,3227000000.0,3223000000.0,3218000000.0,3213000000.0,
Diluted EPS,0.24,0.39,0.33,0.12,0.66,
Basic EPS,0.26,0.43,0.36,0.13,0.72,
Diluted NI Availto Com Stockholders,840000000.0,1373000000.0,1172000000.0,409000000.0,2314000000.0,
Net Income Common Stockholders,840000000.0,1373000000.0,1172000000.0,409000000.0,2314000000.0,
Otherunder Preferred Stock Dividend,,,,0.0,,0.0
Net Income,840000000.0,1373000000.0,1172000000.0,409000000.0,2314000000.0,
Minority Interests,-16000000.0,-16000000.0,-18000000.0,-11000000.0,-18000000.0,
Net Income Including Noncontrolling Interests,856000000.0,1389000000.0,1190000000.0,420000000.0,2332000000.0,
Net Income Continuous Operations,856000000.0,1389000000.0,1190000000.0,420000000.0,2332000000.0,
Tax Provision,325000000.0,570000000.0,359000000.0,169000000.0,434000000.0,
Pretax Income,1181000000.0,1959000000.0,1549000000.0,589000000.0,2766000000.0,
Other Income Expense,-754000000.0,-266000000.0,320000000.0,-213000000.0,830000000.0,
Other Non Operating Income Expenses,-592000000.0,-28000000.0,320000000.0,-119000000.0,837000000.0,
Special Income Charges,-162000000.0,-238000000.0,0.0,-94000000.0,-7000000.0,
Restructuring And Mergern Acquisition,162000000.0,238000000.0,0.0,94000000.0,7000000.0,
Net Non Operating Interest Income Expense,364000000.0,363000000.0,306000000.0,309000000.0,346000000.0,
Interest Expense Non Operating,85000000.0,76000000.0,86000000.0,91000000.0,96000000.0,
Interest Income Non Operating,449000000.0,439000000.0,392000000.0,400000000.0,442000000.0,
Operating Income,1571000000.0,1862000000.0,923000000.0,493000000.0,1590000000.0,
Operating Expense,3438000000.0,3192000000.0,2955000000.0,2660000000.0,2589000000.0,
Research And Development,1783000000.0,1630000000.0,1589000000.0,1409000000.0,1276000000.0,
Selling General And Administration,1655000000.0,1562000000.0,1366000000.0,1251000000.0,1313000000.0,
Gross Profit,5009000000.0,5054000000.0,3878000000.0,3153000000.0,4179000000.0,
Cost Of Revenue,19892000000.0,23041000000.0,18618000000.0,16182000000.0,21528000000.0,
Total Revenue,24901000000.0,28095000000.0,22496000000.0,19335000000.0,25707000000.0,
Operating Revenue,24901000000.0,28095000000.0,22496000000.0,19335000000.0,25707000000.0,
