,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1329000000.0,993000000.0,555000000.0,-274000000.0,806000000.0,
Repurchase Of Capital Stock,-403000000.0,-119000000.0,-302000000.0,-653000000.0,-537000000.0,
Repayment Of Debt,0.0,0.0,0.0,-750000000.0,-300000000.0,
Issuance Of Debt,0.0,0.0,1199000000.0,0.0,0.0,
Issuance Of Capital Stock,42000000.0,125000000.0,115000000.0,118000000.0,87000000.0,
Capital Expenditure,-925000000.0,-1197000000.0,-1305000000.0,-1123000000.0,-1192000000.0,
Income Tax Paid Supplemental Data,89000000.0,,,0.0,56000000.0,220000000.0
End Cash Position,3225000000.0,3311000000.0,3044000000.0,2763000000.0,3200000000.0,
Beginning Cash Position,3311000000.0,3044000000.0,2763000000.0,3200000000.0,2589000000.0,
Changes In Cash,-86000000.0,267000000.0,281000000.0,-437000000.0,611000000.0,
Financing Cash Flow,-1664000000.0,-1242000000.0,-244000000.0,-2539000000.0,-2001000000.0,
Cash Flow From Continuing Financing Activities,-1664000000.0,-1242000000.0,-244000000.0,-2539000000.0,-2001000000.0,
Net Other Financing Charges,-13000000.0,-12000000.0,-21000000.0,-16000000.0,-11000000.0,
Cash Dividends Paid,-1290000000.0,-1236000000.0,-1235000000.0,-1238000000.0,-1240000000.0,
Common Stock Dividend Paid,-1290000000.0,-1236000000.0,-1235000000.0,-1238000000.0,-1240000000.0,
Net Common Stock Issuance,-361000000.0,6000000.0,-187000000.0,-535000000.0,-450000000.0,
Common Stock Payments,-403000000.0,-119000000.0,-302000000.0,-653000000.0,-537000000.0,
Common Stock Issuance,42000000.0,125000000.0,115000000.0,118000000.0,87000000.0,
Net Issuance Payments Of Debt,0.0,0.0,1199000000.0,-750000000.0,-300000000.0,
Net Long Term Debt Issuance,0.0,0.0,1199000000.0,-750000000.0,-300000000.0,
Long Term Debt Payments,0.0,0.0,0.0,-750000000.0,-300000000.0,
Long Term Debt Issuance,0.0,0.0,1199000000.0,0.0,0.0,
Investing Cash Flow,-676000000.0,-681000000.0,-1335000000.0,1253000000.0,614000000.0,
Cash Flow From Continuing Investing Activities,-676000000.0,-681000000.0,-1335000000.0,1253000000.0,614000000.0,
Net Other Investing Changes,19000000.0,61000000.0,31000000.0,216000000.0,-11000000.0,
Net Investment Purchase And Sale,230000000.0,455000000.0,-61000000.0,2160000000.0,1817000000.0,
Sale Of Investment,1110000000.0,1260000000.0,1131000000.0,2807000000.0,2726000000.0,
Purchase Of Investment,-880000000.0,-805000000.0,-1192000000.0,-647000000.0,-909000000.0,
Capital Expenditure Reported,-925000000.0,-1197000000.0,-1305000000.0,-1123000000.0,-1192000000.0,
Operating Cash Flow,2254000000.0,2190000000.0,1860000000.0,849000000.0,1998000000.0,
Cash Flow From Continuing Operating Activities,2254000000.0,2190000000.0,1860000000.0,849000000.0,1998000000.0,
Change In Working Capital,281000000.0,187000000.0,-15000000.0,-724000000.0,300000000.0,
Change In Payables And Accrued Expense,149000000.0,314000000.0,193000000.0,-416000000.0,312000000.0,
Change In Accrued Expense,106000000.0,121000000.0,172000000.0,-427000000.0,115000000.0,
Change In Payable,43000000.0,193000000.0,21000000.0,11000000.0,197000000.0,
Change In Account Payable,20000000.0,86000000.0,92000000.0,-121000000.0,87000000.0,
Change In Tax Payable,23000000.0,107000000.0,-71000000.0,132000000.0,110000000.0,
Change In Income Tax Payable,23000000.0,107000000.0,-71000000.0,132000000.0,110000000.0,
Change In Prepaid Assets,8000000.0,18000000.0,-9000000.0,-7000000.0,76000000.0,
Change In Inventory,25000000.0,-17000000.0,-125000000.0,-160000000.0,-231000000.0,
Change In Receivables,99000000.0,-128000000.0,-74000000.0,-141000000.0,143000000.0,
Changes In Account Receivables,99000000.0,-128000000.0,-74000000.0,-141000000.0,143000000.0,
Other Non Cash Items,55000000.0,26000000.0,20000000.0,-79000000.0,2000000.0,
Stock Based Compensation,81000000.0,93000000.0,129000000.0,116000000.0,78000000.0,
Deferred Tax,115000000.0,3000000.0,-50000000.0,-87000000.0,-21000000.0,
Deferred Income Tax,115000000.0,3000000.0,-50000000.0,-87000000.0,-21000000.0,
Depreciation Amortization Depletion,557000000.0,517000000.0,481000000.0,444000000.0,435000000.0,
Depreciation And Amortization,557000000.0,517000000.0,481000000.0,444000000.0,435000000.0,
Amortization Cash Flow,20000000.0,20000000.0,21000000.0,20000000.0,19000000.0,
Amortization Of Intangibles,20000000.0,20000000.0,21000000.0,20000000.0,19000000.0,
Depreciation,537000000.0,497000000.0,460000000.0,424000000.0,416000000.0,
Operating Gains Losses,,,,,-1000000.0,0.0
Net Income From Continuing Operations,1163000000.0,1364000000.0,1295000000.0,1179000000.0,1205000000.0,
