,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,2067905000.0,2079769000.0,2086768000.0,2091856000.0,2107953000.0,
Share Issued,2067905000.0,2079769000.0,2086768000.0,2091856000.0,2107953000.0,
Net Debt,3416000000.0,3333000000.0,4290000000.0,4368000000.0,3604000000.0,
Total Debt,12080000000.0,13340000000.0,12342000000.0,11124000000.0,11126000000.0,
Tangible Book Value,17062000000.0,18113000000.0,12504000000.0,12841000000.0,12367000000.0,
Invested Capital,37562000000.0,39899000000.0,33326000000.0,31475000000.0,31055000000.0,
Working Capital,1673000000.0,2018000000.0,1421000000.0,237000000.0,769000000.0,
Net Tangible Assets,17062000000.0,18113000000.0,12504000000.0,12841000000.0,12367000000.0,
Capital Lease Obligations,1559000000.0,1575000000.0,1614000000.0,1624000000.0,1629000000.0,
Common Stock Equity,27041000000.0,28134000000.0,22598000000.0,21975000000.0,21558000000.0,
Total Capitalization,37562000000.0,38749000000.0,32176000000.0,30325000000.0,29905000000.0,
Total Equity Gross Minority Interest,28083000000.0,29155000000.0,23630000000.0,22905000000.0,22476000000.0,
Minority Interest,1042000000.0,1021000000.0,1032000000.0,930000000.0,918000000.0,
Stockholders Equity,27041000000.0,28134000000.0,22598000000.0,21975000000.0,21558000000.0,
Gains Losses Not Affecting Retained Earnings,-432000000.0,-430000000.0,-435000000.0,-485000000.0,-517000000.0,
Other Equity Adjustments,-432000000.0,-430000000.0,-435000000.0,-485000000.0,-517000000.0,
Retained Earnings,-10628000000.0,-10935000000.0,-17592000000.0,-18946000000.0,-20726000000.0,
Additional Paid In Capital,38101000000.0,39499000000.0,40625000000.0,41406000000.0,42801000000.0,
Capital Stock,0.0,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,33719000000.0,34189000000.0,32352000000.0,29917000000.0,28768000000.0,
Total Non Current Liabilities Net Minority Interest,21399000000.0,21068000000.0,19666000000.0,17804000000.0,17292000000.0,
Other Non Current Liabilities,381000000.0,399000000.0,399000000.0,395000000.0,440000000.0,
Non Current Deferred Liabilities,31000000.0,31000000.0,68000000.0,13000000.0,9000000.0,
Non Current Deferred Taxes Liabilities,31000000.0,31000000.0,68000000.0,13000000.0,9000000.0,
Long Term Debt And Capital Lease Obligation,11911000000.0,12027000000.0,11016000000.0,9797000000.0,9801000000.0,
Long Term Capital Lease Obligation,1390000000.0,1412000000.0,1438000000.0,1447000000.0,1454000000.0,
Long Term Debt,10521000000.0,10615000000.0,9578000000.0,8350000000.0,8347000000.0,
Long Term Provisions,9076000000.0,8611000000.0,8183000000.0,7599000000.0,7042000000.0,
Current Liabilities,12320000000.0,13121000000.0,12686000000.0,12113000000.0,11476000000.0,
Other Current Liabilities,2263000000.0,2324000000.0,2170000000.0,2320000000.0,2185000000.0,
Current Debt And Capital Lease Obligation,169000000.0,1313000000.0,1326000000.0,1327000000.0,1325000000.0,
Current Capital Lease Obligation,169000000.0,163000000.0,176000000.0,177000000.0,175000000.0,
Current Debt,,1150000000.0,1150000000.0,1150000000.0,1150000000.0,
Other Current Borrowings,,1150000000.0,1150000000.0,1150000000.0,1150000000.0,
Pensionand Other Post Retirement Benefit Plans Current,777000000.0,628000000.0,480000000.0,331000000.0,649000000.0,
Current Provisions,3387000000.0,3268000000.0,3107000000.0,2873000000.0,2754000000.0,
Payables And Accrued Expenses,5724000000.0,5588000000.0,5603000000.0,5262000000.0,4563000000.0,
Current Accrued Expenses,1626000000.0,1632000000.0,2260000000.0,2147000000.0,1421000000.0,
Payables,4098000000.0,3956000000.0,3343000000.0,3115000000.0,3142000000.0,
Total Tax Payable,3085000000.0,2837000000.0,2321000000.0,2242000000.0,2284000000.0,
Income Tax Payable,1033000000.0,859000000.0,814000000.0,739000000.0,751000000.0,
Accounts Payable,1013000000.0,1119000000.0,1022000000.0,873000000.0,858000000.0,
Total Assets,61802000000.0,63344000000.0,55982000000.0,52822000000.0,51244000000.0,
Total Non Current Assets,47809000000.0,48205000000.0,41875000000.0,40472000000.0,38999000000.0,
Other Non Current Assets,14403000000.0,13773000000.0,13165000000.0,12559000000.0,11765000000.0,
Non Current Deferred Assets,10951000000.0,10710000000.0,6524000000.0,6592000000.0,6171000000.0,
Non Current Deferred Taxes Assets,10951000000.0,10710000000.0,6524000000.0,6592000000.0,6171000000.0,
Non Current Note Receivables,119000000.0,151000000.0,146000000.0,144000000.0,144000000.0,
Investments And Advances,9346000000.0,10494000000.0,8845000000.0,8940000000.0,8618000000.0,
Investmentin Financial Assets,9059000000.0,10179000000.0,8514000000.0,8602000000.0,8316000000.0,
Available For Sale Securities,9059000000.0,10179000000.0,8514000000.0,8602000000.0,8316000000.0,
Long Term Equity Investment,287000000.0,315000000.0,331000000.0,338000000.0,302000000.0,
Goodwill And Other Intangible Assets,9979000000.0,10021000000.0,10094000000.0,9134000000.0,9191000000.0,
Other Intangible Assets,1048000000.0,1104000000.0,1187000000.0,1065000000.0,1125000000.0,
Goodwill,8931000000.0,8917000000.0,8907000000.0,8069000000.0,8066000000.0,
