,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,160000000.0,5055000000.0,6302000000.0,4558000000.0,1457000000.0,
Repurchase Of Capital Stock,0.0,0.0,-2545000000.0,-3000000000.0,-4972000000.0,
Repayment Of Debt,-1050000000.0,-2000000000.0,0.0,0.0,-500000000.0,
Issuance Of Debt,0.0,0.0,-942000000.0,3911000000.0,0.0,
Issuance Of Capital Stock,24000000.0,222000000.0,221000000.0,360000000.0,235000000.0,
Capital Expenditure,-948000000.0,-890000000.0,-886000000.0,-898000000.0,-912000000.0,
End Cash Position,24365000000.0,27210000000.0,28596000000.0,30717000000.0,25312000000.0,
Other Cash Adjustment Outside Changein Cash,-326000000.0,-4000000.0,66000000.0,-91000000.0,35000000.0,
Beginning Cash Position,27210000000.0,28596000000.0,30717000000.0,25312000000.0,32400000000.0,
Effect Of Exchange Rate Changes,15000000.0,-4000000.0,14000000.0,15000000.0,-31000000.0,
Changes In Cash,-2534000000.0,-1378000000.0,-2201000000.0,5481000000.0,-7092000000.0,
Financing Cash Flow,-1031000000.0,-2765000000.0,-7947000000.0,99000000.0,-8342000000.0,
Cash Flow From Continuing Financing Activities,-1031000000.0,-2765000000.0,-7947000000.0,99000000.0,-8342000000.0,
Net Other Financing Charges,2659000000.0,-1857000000.0,-1278000000.0,740000000.0,-1213000000.0,
Cash Dividends Paid,-2002000000.0,-2002000000.0,-2000000000.0,-1912000000.0,-1932000000.0,
Common Stock Dividend Paid,-2002000000.0,-2002000000.0,-2000000000.0,-1912000000.0,-1932000000.0,
Net Common Stock Issuance,24000000.0,222000000.0,-2324000000.0,-2640000000.0,-4737000000.0,
Common Stock Payments,0.0,0.0,-2545000000.0,-3000000000.0,-4972000000.0,
Common Stock Issuance,24000000.0,222000000.0,221000000.0,360000000.0,235000000.0,
Net Issuance Payments Of Debt,-1712000000.0,872000000.0,-2345000000.0,3911000000.0,-460000000.0,
Net Short Term Debt Issuance,-662000000.0,2872000000.0,-5314000000.0,3911000000.0,40000000.0,
Short Term Debt Issuance,,,,3911000000.0,,
Net Long Term Debt Issuance,-1050000000.0,-2000000000.0,2969000000.0,0.0,-500000000.0,
Long Term Debt Payments,-1050000000.0,-2000000000.0,0.0,0.0,-500000000.0,
Long Term Debt Issuance,0.0,0.0,2969000000.0,0.0,0.0,
Investing Cash Flow,-2611000000.0,-4558000000.0,-1442000000.0,-74000000.0,-1119000000.0,
Cash Flow From Continuing Investing Activities,-2611000000.0,-4558000000.0,-1442000000.0,-74000000.0,-1119000000.0,
Net Other Investing Changes,-294000000.0,-296000000.0,-634000000.0,309000000.0,2854000000.0,
Net Investment Purchase And Sale,-1296000000.0,330000000.0,110000000.0,1217000000.0,-1327000000.0,
Sale Of Investment,3272000000.0,4955000000.0,4155000000.0,5352000000.0,6030000000.0,
Purchase Of Investment,-4568000000.0,-4625000000.0,-4045000000.0,-4135000000.0,-7357000000.0,
Net Business Purchase And Sale,-73000000.0,-3702000000.0,-32000000.0,-702000000.0,-1734000000.0,
Purchase Of Business,-73000000.0,-3702000000.0,-32000000.0,-702000000.0,-1734000000.0,
Net PPE Purchase And Sale,-948000000.0,-890000000.0,-886000000.0,-898000000.0,-912000000.0,
Purchase Of PPE,-948000000.0,-890000000.0,-886000000.0,-898000000.0,-912000000.0,
Operating Cash Flow,1108000000.0,5945000000.0,7188000000.0,5456000000.0,2369000000.0,
Cash Flow From Continuing Operating Activities,1108000000.0,5945000000.0,7188000000.0,5456000000.0,2369000000.0,
Change In Working Capital,-495000000.0,2992000000.0,2415000000.0,-2630000000.0,-1809000000.0,
Change In Other Working Capital,107000000.0,338000000.0,-272000000.0,-10000000.0,-16000000.0,
Change In Other Current Liabilities,,,,-544000000.0,,1133000000.0
Change In Other Current Assets,-1501000000.0,-962000000.0,-1599000000.0,-544000000.0,-1152000000.0,
Change In Payables And Accrued Expense,1728000000.0,1870000000.0,1505000000.0,2386000000.0,1481000000.0,
Change In Payable,1728000000.0,1870000000.0,1505000000.0,2386000000.0,1481000000.0,
Change In Account Payable,2082000000.0,63000000.0,127000000.0,-607000000.0,1213000000.0,
Change In Receivables,-829000000.0,1746000000.0,2781000000.0,-4462000000.0,-2122000000.0,
Changes In Account Receivables,-829000000.0,1746000000.0,2781000000.0,-4462000000.0,-2122000000.0,
Other Non Cash Items,699000000.0,-63000000.0,30000000.0,97000000.0,-2751000000.0,
Stock Based Compensation,176000000.0,223000000.0,197000000.0,375000000.0,187000000.0,
Deferred Tax,-733000000.0,-932000000.0,-151000000.0,64000000.0,-62000000.0,
Deferred Income Tax,-733000000.0,-932000000.0,-151000000.0,64000000.0,-62000000.0,
Depreciation Amortization Depletion,1117000000.0,1099000000.0,1084000000.0,1061000000.0,1041000000.0,
Depreciation And Amortization,1117000000.0,1099000000.0,1084000000.0,1061000000.0,1041000000.0,
Operating Gains Losses,126000000.0,83000000.0,41000000.0,15000000.0,-21000000.0,
Gain Loss On Sale Of Business,126000000.0,83000000.0,41000000.0,15000000.0,-21000000.0,
Net Income From Continuing Operations,218000000.0,2543000000.0,3572000000.0,6474000000.0,5784000000.0,
