,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-26460000.0,-17596000.0,-5125000.0,-3015000.0,3113974.377853,
Tax Rate For Calcs,0.21,0.212,0.125,0.201,0.148284,
Normalized EBITDA,1497000000.0,5414000000.0,6234000000.0,10180000000.0,8814000000.0,
Total Unusual Items,-126000000.0,-83000000.0,-41000000.0,-15000000.0,21000000.0,
Total Unusual Items Excluding Goodwill,-126000000.0,-83000000.0,-41000000.0,-15000000.0,21000000.0,
Net Income From Continuing Operation Net Minority Interest,10000000.0,2348000000.0,3406000000.0,6292000000.0,5543000000.0,
Reconciled Depreciation,1117000000.0,1099000000.0,1084000000.0,1061000000.0,1041000000.0,
Reconciled Cost Of Revenue,94721000000.0,92524000000.0,91604000000.0,85801000000.0,79499000000.0,
EBITDA,1371000000.0,5331000000.0,6193000000.0,10165000000.0,8835000000.0,
EBIT,254000000.0,4232000000.0,5109000000.0,9104000000.0,7794000000.0,
Net Interest Income,-974000000.0,-1003000000.0,-1027000000.0,-998000000.0,-1003000000.0,
Interest Expense,974000000.0,1003000000.0,1027000000.0,998000000.0,1003000000.0,
Normalized Income,109540000.0,2413404000.0,3441875000.0,6303985000.0,5525113974.377853,
Net Income From Continuing And Discontinued Operation,10000000.0,2348000000.0,3406000000.0,6292000000.0,5543000000.0,
Total Expenses,112835000000.0,108846000000.0,106466000000.0,100456000000.0,93034000000.0,
Total Operating Income As Reported,380000000.0,4315000000.0,5150000000.0,9119000000.0,7773000000.0,
Diluted Average Shares,910000000.0,908000000.0,910000000.0,918000000.0,927000000.0,
Basic Average Shares,905838620.0,905673625.0,905000000.0,910000000.0,915000000.0,
Diluted EPS,0.01,2.59,3.74,6.85,5.98,
Basic EPS,0.011039,2.592545,3.763536,6.914286,6.057923,
Diluted NI Availto Com Stockholders,10000000.0,2348000000.0,3406000000.0,6292000000.0,5543000000.0,
Net Income Common Stockholders,10000000.0,2348000000.0,3406000000.0,6292000000.0,5543000000.0,
Net Income,10000000.0,2348000000.0,3406000000.0,6292000000.0,5543000000.0,
Minority Interests,-208000000.0,-195000000.0,-166000000.0,-182000000.0,-241000000.0,
Net Income Including Noncontrolling Interests,218000000.0,2543000000.0,3572000000.0,6474000000.0,5784000000.0,
Net Income Continuous Operations,218000000.0,2543000000.0,3572000000.0,6474000000.0,5784000000.0,
Tax Provision,-938000000.0,686000000.0,510000000.0,1632000000.0,1007000000.0,
Pretax Income,-720000000.0,3229000000.0,4082000000.0,8106000000.0,6791000000.0,
Other Income Expense,-126000000.0,-83000000.0,-41000000.0,-15000000.0,21000000.0,
Special Income Charges,-126000000.0,-83000000.0,-41000000.0,-15000000.0,21000000.0,
Gain On Sale Of Business,-126000000.0,-83000000.0,-41000000.0,-15000000.0,21000000.0,
Gain On Sale Of Security,,,,,,1643000000.0
Net Non Operating Interest Income Expense,-974000000.0,-1003000000.0,-1027000000.0,-998000000.0,-1003000000.0,
Interest Expense Non Operating,974000000.0,1003000000.0,1027000000.0,998000000.0,1003000000.0,
Operating Income,380000000.0,4315000000.0,5150000000.0,9119000000.0,7773000000.0,
Operating Expense,18114000000.0,16322000000.0,14862000000.0,14655000000.0,13535000000.0,
Other Operating Expenses,16997000000.0,15223000000.0,13778000000.0,13594000000.0,12494000000.0,
Depreciation Amortization Depletion Income Statement,1117000000.0,1099000000.0,1084000000.0,1061000000.0,1041000000.0,
Depreciation And Amortization In Income Statement,1117000000.0,1099000000.0,1084000000.0,1061000000.0,1041000000.0,
Gross Profit,18494000000.0,20637000000.0,20012000000.0,23774000000.0,21308000000.0,
Cost Of Revenue,94721000000.0,92524000000.0,91604000000.0,85801000000.0,79499000000.0,
Total Revenue,113215000000.0,113161000000.0,111616000000.0,109575000000.0,100807000000.0,
Operating Revenue,113215000000.0,113161000000.0,111616000000.0,109575000000.0,100807000000.0,
