,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2836000000.0,3388000000.0,2031000000.0,-285000000.0,4766000000.0,
Repurchase Of Capital Stock,-122000000.0,-101000000.0,-106000000.0,-160000000.0,-122000000.0,
Repayment Of Debt,-2680000000.0,-2622000000.0,-1649000000.0,-2101000000.0,-126000000.0,
Issuance Of Debt,69000000.0,964000000.0,4097000000.0,5230000000.0,3207000000.0,
Issuance Of Capital Stock,13000000.0,10000000.0,6000000.0,16000000.0,10000000.0,
End Cash Position,46890000000.0,66637000000.0,57807000000.0,50013000000.0,56502000000.0,
Beginning Cash Position,66637000000.0,57807000000.0,50013000000.0,56502000000.0,73562000000.0,
Changes In Cash,-20453000000.0,8830000000.0,7794000000.0,-6489000000.0,-17060000000.0,
Financing Cash Flow,-6439000000.0,5212000000.0,7133000000.0,-3656000000.0,-8951000000.0,
Cash Flow From Continuing Financing Activities,-6439000000.0,5212000000.0,7133000000.0,-3656000000.0,-8951000000.0,
Net Other Financing Charges,-18000000.0,-21000000.0,,,-25000000.0,-23000000.0
Cash Dividends Paid,-910000000.0,-853000000.0,-880000000.0,-859000000.0,-887000000.0,
Preferred Stock Dividend Paid,-97000000.0,-69000000.0,-96000000.0,-72000000.0,-102000000.0,
Common Stock Dividend Paid,-813000000.0,-784000000.0,-784000000.0,-787000000.0,-785000000.0,
Net Common Stock Issuance,-109000000.0,-91000000.0,-100000000.0,-144000000.0,-112000000.0,
Common Stock Payments,-122000000.0,-101000000.0,-106000000.0,-160000000.0,-122000000.0,
Common Stock Issuance,13000000.0,10000000.0,6000000.0,16000000.0,10000000.0,
Net Issuance Payments Of Debt,-898000000.0,-1248000000.0,1969000000.0,3129000000.0,-5109000000.0,
Net Short Term Debt Issuance,1713000000.0,410000000.0,-2119000000.0,1640000000.0,-8190000000.0,
Short Term Debt Issuance,,,,1640000000.0,,
Net Long Term Debt Issuance,-2611000000.0,-1658000000.0,4088000000.0,1489000000.0,3081000000.0,
Long Term Debt Payments,-2680000000.0,-2622000000.0,-1649000000.0,-2101000000.0,-126000000.0,
Long Term Debt Issuance,69000000.0,964000000.0,5737000000.0,3590000000.0,3207000000.0,
Investing Cash Flow,-16850000000.0,230000000.0,-1370000000.0,-2548000000.0,-12875000000.0,
Cash Flow From Continuing Investing Activities,-16850000000.0,230000000.0,-1370000000.0,-2548000000.0,-12875000000.0,
Net Other Investing Changes,-1007000000.0,-521000000.0,-799000000.0,-634000000.0,-541000000.0,
Net Investment Purchase And Sale,-245000000.0,3531000000.0,-3051000000.0,990000000.0,-6484000000.0,
Sale Of Investment,5668000000.0,5334000000.0,6299000000.0,3738000000.0,6237000000.0,
Purchase Of Investment,-5913000000.0,-1803000000.0,-9350000000.0,-2748000000.0,-12721000000.0,
Net Business Purchase And Sale,-1000000.0,,,,0.0,
Purchase Of Business,-1000000.0,,,,,
Operating Cash Flow,2836000000.0,3388000000.0,2031000000.0,-285000000.0,4766000000.0,
Cash Flow From Continuing Operating Activities,2836000000.0,3388000000.0,2031000000.0,-285000000.0,4766000000.0,
Other Non Cash Items,71000000.0,679000000.0,-481000000.0,-2674000000.0,2472000000.0,
Depreciation Amortization Depletion,227000000.0,216000000.0,217000000.0,215000000.0,238000000.0,
Depreciation And Amortization,227000000.0,216000000.0,217000000.0,215000000.0,238000000.0,
Amortization Cash Flow,126000000.0,125000000.0,124000000.0,123000000.0,139000000.0,
Amortization Of Intangibles,126000000.0,125000000.0,124000000.0,123000000.0,139000000.0,
Depreciation,101000000.0,91000000.0,93000000.0,92000000.0,99000000.0,
Operating Gains Losses,-84000000.0,-79000000.0,-21000000.0,-72000000.0,-167000000.0,
Gain Loss On Investment Securities,-13000000.0,-1000000.0,43000000.0,-28000000.0,-15000000.0,
Net Income From Continuing Operations,2045000000.0,2001000000.0,1815000000.0,1709000000.0,1663000000.0,
