,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,-50906072.106262
Tax Rate For Calcs,0.190288,0.207,0.206,0.205,0.20778
Total Unusual Items,0.0,0.0,0.0,0.0,-245000000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,0.0,-245000000.0
Net Income From Continuing Operation Net Minority Interest,2045000000.0,2001000000.0,1815000000.0,1709000000.0,1663000000.0
Reconciled Depreciation,227000000.0,216000000.0,217000000.0,215000000.0,238000000.0
Net Interest Income,4284000000.0,4222000000.0,4051000000.0,4092000000.0,4146000000.0
Interest Expense,3639000000.0,3705000000.0,3553000000.0,3424000000.0,3685000000.0
Interest Income,7923000000.0,7927000000.0,7604000000.0,7516000000.0,7831000000.0
Normalized Income,2045000000.0,2001000000.0,1815000000.0,1709000000.0,1857093927.893738
Net Income From Continuing And Discontinued Operation,2045000000.0,2001000000.0,1815000000.0,1709000000.0,1663000000.0
Diluted Average Shares,1556000000.0,1557000000.0,1559000000.0,1560000000.0,1560000000.0
Basic Average Shares,1555000000.0,1557000000.0,1559000000.0,1559000000.0,1560000000.0
Diluted EPS,1.26,1.22,1.11,1.03,1.01
Basic EPS,1.26,1.22,1.11,1.03,1.01
Diluted NI Availto Com Stockholders,1965000000.0,1893000000.0,1733000000.0,1603000000.0,1581000000.0
Net Income Common Stockholders,1965000000.0,1893000000.0,1733000000.0,1603000000.0,1581000000.0
Otherunder Preferred Stock Dividend,13000000.0,11000000.0,12000000.0,11000000.0,10000000.0
Preferred Stock Dividends,67000000.0,97000000.0,70000000.0,95000000.0,72000000.0
Net Income,2045000000.0,2001000000.0,1815000000.0,1709000000.0,1663000000.0
Minority Interests,-6000000.0,-7000000.0,-6000000.0,-7000000.0,-7000000.0
Net Income Including Noncontrolling Interests,2051000000.0,2008000000.0,1821000000.0,1716000000.0,1670000000.0
Net Income Continuous Operations,2051000000.0,2008000000.0,1821000000.0,1716000000.0,1670000000.0
Tax Provision,482000000.0,524000000.0,472000000.0,443000000.0,438000000.0
Pretax Income,2533000000.0,2532000000.0,2293000000.0,2159000000.0,2108000000.0
Special Income Charges,0.0,0.0,0.0,0.0,-245000000.0
Restructuring And Mergern Acquisition,0.0,0.0,0.0,0.0,0.0
Gain On Sale Of Security,3000000.0,-7000000.0,-57000000.0,0.0,-1000000.0
Depreciation Amortization Depletion Income Statement,126000000.0,125000000.0,124000000.0,123000000.0,139000000.0
Depreciation And Amortization In Income Statement,126000000.0,125000000.0,124000000.0,123000000.0,139000000.0
Amortization,126000000.0,125000000.0,124000000.0,123000000.0,139000000.0
Amortization Of Intangibles Income Statement,126000000.0,125000000.0,124000000.0,123000000.0,139000000.0
Selling General And Administration,2716000000.0,2736000000.0,2761000000.0,2819000000.0,2767000000.0
Selling And Marketing Expense,187000000.0,175000000.0,161000000.0,182000000.0,160000000.0
General And Administrative Expense,2529000000.0,2561000000.0,2600000000.0,2637000000.0,2607000000.0
Salaries And Wages,2529000000.0,2561000000.0,2600000000.0,2637000000.0,2607000000.0
Total Revenue,7337000000.0,7300000000.0,6975000000.0,6928000000.0,6979000000.0
Operating Revenue,7337000000.0,7300000000.0,6975000000.0,6928000000.0,6979000000.0
Occupancy And Equipment,320000000.0,300000000.0,301000000.0,306000000.0,317000000.0
Professional Expense And Contract Services Expense,144000000.0,117000000.0,109000000.0,98000000.0,135000000.0
Other Non Interest Expense,921000000.0,919000000.0,886000000.0,886000000.0,708000000.0
