,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,348600000.0,1139600000.0,927400000.0,778200000.0,492000000.0,
Repurchase Of Capital Stock,-130900000.0,-1162100000.0,-397700000.0,-696600000.0,-425200000.0,
Repayment Of Debt,-1400000.0,-1400000.0,-1300000.0,-1300000.0,-1300000.0,
Capital Expenditure,-149400000.0,-101800000.0,-145700000.0,-40700000.0,-92600000.0,
Interest Paid Supplemental Data,3000000.0,3200000.0,3500000.0,2700000.0,2700000.0,
Income Tax Paid Supplemental Data,389400000.0,479600000.0,513300000.0,184400000.0,271800000.0,
End Cash Position,5087800000.0,4947800000.0,4982000000.0,4685400000.0,4572200000.0,
Beginning Cash Position,4947800000.0,4982000000.0,4685400000.0,4572200000.0,5248100000.0,
Effect Of Exchange Rate Changes,7300000.0,-4100000.0,57200000.0,30500000.0,-47300000.0,
Changes In Cash,132700000.0,-30100000.0,239400000.0,82700000.0,-628600000.0,
Financing Cash Flow,-77200000.0,-1154500000.0,-349200000.0,-680400000.0,-391300000.0,
Cash Flow From Continuing Financing Activities,-77200000.0,-1154500000.0,-349200000.0,-680400000.0,-391300000.0,
Net Other Financing Charges,1100000.0,1100000.0,700000.0,800000.0,900000.0,
Proceeds From Stock Option Exercised,54000000.0,7900000.0,49100000.0,16700000.0,34300000.0,
Net Common Stock Issuance,-130900000.0,-1162100000.0,-397700000.0,-696600000.0,-425200000.0,
Common Stock Payments,-130900000.0,-1162100000.0,-397700000.0,-696600000.0,-425200000.0,
Net Issuance Payments Of Debt,-1400000.0,-1400000.0,-1300000.0,-1300000.0,-1300000.0,
Net Long Term Debt Issuance,-1400000.0,-1400000.0,-1300000.0,-1300000.0,-1300000.0,
Long Term Debt Payments,-1400000.0,-1400000.0,-1300000.0,-1300000.0,-1300000.0,
Investing Cash Flow,-288100000.0,-117000000.0,-484500000.0,-55800000.0,-821900000.0,
Cash Flow From Continuing Investing Activities,-288100000.0,-117000000.0,-484500000.0,-55800000.0,-821900000.0,
Net Other Investing Changes,-15900000.0,800000.0,-4300000.0,-5300000.0,-30900000.0,
Net Investment Purchase And Sale,-122800000.0,-16000000.0,-334500000.0,-9800000.0,-956400000.0,
Sale Of Investment,1107800000.0,1329300000.0,1838700000.0,1637600000.0,1460200000.0,
Purchase Of Investment,-1230600000.0,-1345300000.0,-2173200000.0,-1647400000.0,-2416600000.0,
Net Business Purchase And Sale,,,,,258000000.0,
Purchase Of Business,,,,,258000000.0,
Net Intangibles Purchase And Sale,0.0,0.0,0.0,0.0,0.0,
Purchase Of Intangibles,0.0,0.0,0.0,0.0,0.0,
Net PPE Purchase And Sale,-149400000.0,-101800000.0,-145700000.0,-40700000.0,-92600000.0,
Purchase Of PPE,-149400000.0,-101800000.0,-145700000.0,-40700000.0,-92600000.0,
Operating Cash Flow,498000000.0,1241400000.0,1073100000.0,818900000.0,584600000.0,
Cash Flow From Continuing Operating Activities,498000000.0,1241400000.0,1073100000.0,818900000.0,584600000.0,
Change In Working Capital,-947800000.0,149600000.0,-132400000.0,-268500000.0,-560200000.0,
Change In Other Current Liabilities,105800000.0,83900000.0,-63200000.0,22000000.0,-5400000.0,
Change In Payables And Accrued Expense,-626200000.0,297600000.0,174200000.0,74300000.0,-311700000.0,
Change In Accrued Expense,-664500000.0,332900000.0,166600000.0,48100000.0,-320100000.0,
Change In Payable,38300000.0,-35300000.0,7600000.0,26200000.0,8400000.0,
Change In Account Payable,38300000.0,-35300000.0,7600000.0,26200000.0,8400000.0,
Change In Prepaid Assets,-250600000.0,-40900000.0,-76400000.0,-28100000.0,-164600000.0,
Change In Inventory,-77400000.0,-131100000.0,-148600000.0,-167100000.0,-147500000.0,
Change In Receivables,-99400000.0,-59900000.0,-18400000.0,-169600000.0,69000000.0,
Changes In Account Receivables,-99400000.0,-59900000.0,-18400000.0,-169600000.0,69000000.0,
Other Non Cash Items,23100000.0,-6700000.0,72800000.0,24200000.0,-41300000.0,
Stock Based Compensation,157600000.0,194900000.0,167300000.0,166100000.0,167800000.0,
Asset Impairment Charge,0.0,0.0,0.0,379000000.0,,
Deferred Tax,30500000.0,-235900000.0,-113800000.0,-191600000.0,51600000.0,
Deferred Income Tax,30500000.0,-235900000.0,-113800000.0,-191600000.0,51600000.0,
Depreciation Amortization Depletion,55700000.0,54000000.0,51700000.0,48400000.0,46500000.0,
Depreciation And Amortization,55700000.0,54000000.0,51700000.0,48400000.0,46500000.0,
Operating Gains Losses,,2600000.0,-5400000.0,15000000.0,7200000.0,10800000.0
Gain Loss On Investment Securities,,2600000.0,-5400000.0,15000000.0,7200000.0,10800000.0
Net Income From Continuing Operations,1191100000.0,1082900000.0,1032900000.0,646300000.0,913000000.0,
