,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Ordinary Shares Number,7969000000.0,7972000000.0,7975000000.0,7986000000.0,8024000000.0,,
Share Issued,7969000000.0,7972000000.0,7975000000.0,7986000000.0,8024000000.0,,
Net Debt,34035000000.0,35787000000.0,34057000000.0,36889000000.0,30030000000.0,,
Total Debt,67095000000.0,68424000000.0,65014000000.0,67205000000.0,60114000000.0,,
Tangible Book Value,70882000000.0,67372000000.0,61050000000.0,54927000000.0,62221000000.0,,
Invested Capital,144379000000.0,142463000000.0,133598000000.0,129993000000.0,130080000000.0,,
Working Capital,-22595000000.0,-22812000000.0,-21533000000.0,-22667000000.0,-17126000000.0,,
Net Tangible Assets,70882000000.0,67372000000.0,61050000000.0,54927000000.0,62221000000.0,,
Capital Lease Obligations,22333000000.0,22055000000.0,21526000000.0,21005000000.0,21047000000.0,,
Common Stock Equity,99617000000.0,96094000000.0,90110000000.0,83793000000.0,91013000000.0,,
Total Capitalization,134241000000.0,130539000000.0,125750000000.0,120313000000.0,124414000000.0,,
Total Equity Gross Minority Interest,106180000000.0,102512000000.0,96857000000.0,90648000000.0,97692000000.0,,
Minority Interest,6563000000.0,6418000000.0,6747000000.0,6855000000.0,6679000000.0,,
Stockholders Equity,99617000000.0,96094000000.0,90110000000.0,83793000000.0,91013000000.0,,
Gains Losses Not Affecting Retained Earnings,-12770000000.0,-13124000000.0,-12733000000.0,-13296000000.0,-13605000000.0,,
Other Equity Adjustments,-12770000000.0,-13124000000.0,-12733000000.0,-682000000.0,-13605000000.0,,
Foreign Currency Translation Adjustments,,,,-12614000000.0,-12661000000.0,-11664000000.0,-11321000000.0
Retained Earnings,104774000000.0,101558000000.0,96328000000.0,90849000000.0,98313000000.0,,
Additional Paid In Capital,6816000000.0,6863000000.0,5718000000.0,5441000000.0,5503000000.0,,
Capital Stock,797000000.0,797000000.0,797000000.0,799000000.0,802000000.0,,
Common Stock,797000000.0,797000000.0,797000000.0,799000000.0,802000000.0,,
Total Liabilities Net Minority Interest,178488000000.0,186143000000.0,173980000000.0,171724000000.0,163131000000.0,,
Total Non Current Liabilities Net Minority Interest,71019000000.0,70411000000.0,70414000000.0,68804000000.0,66547000000.0,,
Other Non Current Liabilities,16549000000.0,16345000000.0,15656000000.0,13609000000.0,14398000000.0,,
Long Term Debt And Capital Lease Obligation,54470000000.0,54066000000.0,54758000000.0,55195000000.0,52149000000.0,,
Long Term Capital Lease Obligation,19846000000.0,19621000000.0,19118000000.0,18675000000.0,18748000000.0,,
Long Term Debt,34624000000.0,34445000000.0,35640000000.0,36520000000.0,33401000000.0,,
Current Liabilities,107469000000.0,115732000000.0,103566000000.0,102920000000.0,96584000000.0,,
Current Deferred Liabilities,2941000000.0,,,,2755000000.0,,
Current Deferred Revenue,2941000000.0,,,,2755000000.0,,
Current Debt And Capital Lease Obligation,12625000000.0,14358000000.0,10256000000.0,12010000000.0,7965000000.0,,
Current Capital Lease Obligation,2487000000.0,2434000000.0,2408000000.0,2330000000.0,2299000000.0,,
