,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,5229000000.0,6061000000.0,5267000000.0,7055000000.0,5392000000.0,
Repurchase Of Capital Stock,-5379000000.0,-5126000000.0,-4964000000.0,-4804000000.0,-5780000000.0,
Repayment Of Debt,-1684000000.0,-139000000.0,-100000000.0,-4589000000.0,-929000000.0,
Issuance Of Debt,3450000000.0,1803000000.0,1032000000.0,280000000.0,473000000.0,
Capital Expenditure,-7450000000.0,-8727000000.0,-6283000000.0,-5898000000.0,-6837000000.0,
Interest Paid Supplemental Data,279000000.0,597000000.0,339000000.0,537000000.0,305000000.0,
Income Tax Paid Supplemental Data,3715000000.0,2266000000.0,2986000000.0,2596000000.0,2099000000.0,
End Cash Position,10681000000.0,13869000000.0,15711000000.0,18512000000.0,23187000000.0,
Beginning Cash Position,13869000000.0,15711000000.0,18512000000.0,23187000000.0,26972000000.0,
Effect Of Exchange Rate Changes,0.0,-68000000.0,514000000.0,86000000.0,-619000000.0,
Changes In Cash,-3188000000.0,-1774000000.0,-3315000000.0,-4761000000.0,-3166000000.0,
Financing Cash Flow,-8734000000.0,-8083000000.0,-8685000000.0,-13579000000.0,-11143000000.0,
Cash Flow From Continuing Financing Activities,-8734000000.0,-8083000000.0,-8685000000.0,-13579000000.0,-11143000000.0,
Net Other Financing Charges,-755000000.0,-379000000.0,-365000000.0,-131000000.0,-536000000.0,
Cash Dividends Paid,-4366000000.0,-4242000000.0,-4288000000.0,-4335000000.0,-4371000000.0,
Common Stock Dividend Paid,-4366000000.0,-4242000000.0,-4288000000.0,-4335000000.0,-4371000000.0,
Net Common Stock Issuance,-5379000000.0,-5126000000.0,-4964000000.0,-4804000000.0,-5780000000.0,
Common Stock Payments,-5379000000.0,-5126000000.0,-4964000000.0,-4804000000.0,-5780000000.0,
Net Issuance Payments Of Debt,1766000000.0,1664000000.0,932000000.0,-4309000000.0,-456000000.0,
Net Short Term Debt Issuance,1695000000.0,1402000000.0,335000000.0,-4582000000.0,-921000000.0,
Short Term Debt Payments,-589000000.0,-139000000.0,-94000000.0,-4582000000.0,-921000000.0,
Short Term Debt Issuance,2284000000.0,1541000000.0,,,,0.0
Net Long Term Debt Issuance,71000000.0,262000000.0,597000000.0,273000000.0,465000000.0,
Long Term Debt Payments,-1095000000.0,0.0,-6000000.0,-7000000.0,-8000000.0,
Long Term Debt Issuance,1166000000.0,262000000.0,603000000.0,280000000.0,473000000.0,
Investing Cash Flow,-7133000000.0,-8479000000.0,-6180000000.0,-4135000000.0,-4252000000.0,
Cash Flow From Continuing Investing Activities,-7133000000.0,-8479000000.0,-6180000000.0,-4135000000.0,-4252000000.0,
Net Other Investing Changes,3477000000.0,749000000.0,422000000.0,1916000000.0,4846000000.0,
Net Investment Purchase And Sale,-3160000000.0,-501000000.0,-319000000.0,-153000000.0,-2261000000.0,
Purchase Of Investment,-3160000000.0,-501000000.0,-319000000.0,-153000000.0,-2261000000.0,
Net Business Purchase And Sale,0.0,0.0,,,0.0,0.0
Sale Of Business,0.0,0.0,,,0.0,0.0
Net PPE Purchase And Sale,-7450000000.0,-8727000000.0,-6283000000.0,-5898000000.0,-6837000000.0,
Purchase Of PPE,-7450000000.0,-8727000000.0,-6283000000.0,-5898000000.0,-6837000000.0,
Operating Cash Flow,12679000000.0,14788000000.0,11550000000.0,12953000000.0,12229000000.0,
Cash Flow From Continuing Operating Activities,12679000000.0,14788000000.0,11550000000.0,12953000000.0,12229000000.0,
Change In Working Capital,-2728000000.0,-152000000.0,-3970000000.0,-878000000.0,-1552000000.0,
Other Non Cash Items,-1194000000.0,697000000.0,2065000000.0,96000000.0,1985000000.0,
Depreciation Amortization Depletion,7715000000.0,6475000000.0,6101000000.0,5702000000.0,6585000000.0,
Net Income From Continuing Operations,6609000000.0,7768000000.0,7354000000.0,8033000000.0,7955000000.0,
