,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.177064,0.32,0.34,0.34,0.189341,
Normalized EBITDA,15909000000.0,17497000000.0,16951000000.0,17507000000.0,16695000000.0,
Net Income From Continuing Operation Net Minority Interest,6501000000.0,7548000000.0,7082000000.0,7713000000.0,7610000000.0,
Reconciled Depreciation,7715000000.0,6475000000.0,6101000000.0,5702000000.0,6585000000.0,
Reconciled Cost Of Revenue,64065000000.0,64497000000.0,61530000000.0,62573000000.0,63811000000.0,
EBITDA,15909000000.0,17497000000.0,16951000000.0,17507000000.0,16695000000.0,
EBIT,8194000000.0,11022000000.0,10850000000.0,11805000000.0,10110000000.0,
Net Interest Income,-163000000.0,-90000000.0,-145000000.0,-205000000.0,-297000000.0,
Interest Expense,163000000.0,90000000.0,145000000.0,205000000.0,297000000.0,
Normalized Income,6501000000.0,7548000000.0,7082000000.0,7713000000.0,7610000000.0,
Net Income From Continuing And Discontinued Operation,6501000000.0,7548000000.0,7082000000.0,7713000000.0,7610000000.0,
Total Expenses,74036000000.0,74153000000.0,70566000000.0,71212000000.0,73285000000.0,
Diluted Average Shares,4249019608.0,4288636364.0,4331000000.0,4382386364.0,4424418605.0,
Basic Average Shares,4249019608.0,4288636364.0,4318292683.0,4382386364.0,4424418605.0,
Diluted EPS,1.53,1.76,1.64,1.76,1.72,
Basic EPS,1.53,1.76,1.64,1.76,1.72,
Diluted NI Availto Com Stockholders,6501000000.0,7548000000.0,7082000000.0,7713000000.0,7610000000.0,
Net Income Common Stockholders,6501000000.0,7548000000.0,7082000000.0,7713000000.0,7610000000.0,
Net Income,6501000000.0,7548000000.0,7082000000.0,7713000000.0,7610000000.0,
Minority Interests,-108000000.0,-220000000.0,-272000000.0,-320000000.0,-345000000.0,
Net Income Including Noncontrolling Interests,6609000000.0,7768000000.0,7354000000.0,8033000000.0,7955000000.0,
Net Income Continuous Operations,6609000000.0,7768000000.0,7354000000.0,8033000000.0,7955000000.0,
Tax Provision,1422000000.0,3164000000.0,3351000000.0,3567000000.0,1858000000.0,
Pretax Income,8031000000.0,10932000000.0,10705000000.0,11600000000.0,9813000000.0,
Other Income Expense,2191000000.0,1844000000.0,1939000000.0,1959000000.0,2337000000.0,
Other Non Operating Income Expenses,1225000000.0,577000000.0,477000000.0,590000000.0,1210000000.0,
Earnings From Equity Interest,966000000.0,1267000000.0,1462000000.0,1369000000.0,1127000000.0,
Net Non Operating Interest Income Expense,-163000000.0,-90000000.0,-145000000.0,-205000000.0,-297000000.0,
Interest Expense Non Operating,163000000.0,90000000.0,145000000.0,205000000.0,297000000.0,
Operating Income,6003000000.0,9178000000.0,8911000000.0,9846000000.0,7773000000.0,
Operating Expense,9971000000.0,9656000000.0,9036000000.0,8639000000.0,9474000000.0,
Other Operating Expenses,543000000.0,149000000.0,251000000.0,64000000.0,186000000.0,
Other Taxes,6400000000.0,6475000000.0,6257000000.0,6035000000.0,6671000000.0,
Selling General And Administration,3028000000.0,3032000000.0,2528000000.0,2540000000.0,2617000000.0,
General And Administrative Expense,,,,2540000000.0,2617000000.0,2296000000.0
Other Gand A,,,,2540000000.0,2617000000.0,2296000000.0
Gross Profit,15974000000.0,18834000000.0,17947000000.0,18485000000.0,17247000000.0,
Cost Of Revenue,64065000000.0,64497000000.0,61530000000.0,62573000000.0,63811000000.0,
Total Revenue,80039000000.0,83331000000.0,79477000000.0,81058000000.0,81058000000.0,
Operating Revenue,80039000000.0,83331000000.0,79477000000.0,81058000000.0,81058000000.0,
