,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations
AAPL,51552000000.0,-24701000000.0,-8074000000.0,,-2373000000.0,3434000000.0,45317000000.0,35934000000.0,9383000000.0,-39656000000.0,-39656000000.0,-2960000000.0,-3921000000.0,-3921000000.0,-24701000000.0,-24701000000.0,-8074000000.0,-5910000000.0,-5910000000.0,-2164000000.0,-2164000000.0,,-4886000000.0,-4886000000.0,-154000000.0,-2359000000.0,10334000000.0,-12693000000.0,-2373000000.0,-2373000000.0,53925000000.0,53925000000.0,5548000000.0,12533000000.0,-10250000000.0,848000000.0,848000000.0,848000000.0,-211000000.0,2628000000.0,-153000000.0,-528000000.0,3594000000.0,3214000000.0,3214000000.0,42097000000.0
MSFT,5882000000.0,-7415000000.0,-3000000000.0,,-29876000000.0,,24296000000.0,28849000000.0,-4564000000.0,-17617000000.0,-17617000000.0,-699000000.0,-6762000000.0,-6762000000.0,-7156000000.0,-7415000000.0,-3000000000.0,0.0,0.0,-3000000000.0,-3000000000.0,,-22705000000.0,-22705000000.0,-637000000.0,8263000000.0,18108000000.0,-9845000000.0,-29876000000.0,-29876000000.0,35758000000.0,35758000000.0,-9632000000.0,1609000000.0,-669000000.0,1197000000.0,1197000000.0,1197000000.0,70000000.0,-3436000000.0,-3436000000.0,,3219000000.0,9198000000.0,9198000000.0,38458000000.0
GOOGL,24551000000.0,-5499000000.0,-6333000000.0,26562000000.0,-27851000000.0,,30708000000.0,23090000000.0,7654000000.0,7028000000.0,7028000000.0,0.0,-2536000000.0,-2536000000.0,-5499000000.0,-5499000000.0,20229000000.0,,,20229000000.0,-6333000000.0,26562000000.0,-51776000000.0,-51776000000.0,-525000000.0,-23233000000.0,22110000000.0,-45343000000.0,-27851000000.0,-27851000000.0,52402000000.0,52402000000.0,4707000000.0,,-482000000.0,12509000000.0,4970000000.0,1678000000.0,,-5197000000.0,-5197000000.0,1265000000.0,7071000000.0,6040000000.0,6040000000.0,34455000000.0
AMZN,14937000000.0,,-5101000000.0,17116000000.0,-39522000000.0,1521000000.0,90106000000.0,70464000000.0,19505000000.0,12291000000.0,12291000000.0,,,,,,12015000000.0,-937000000.0,-3126000000.0,12952000000.0,-1975000000.0,14927000000.0,-47245000000.0,-47245000000.0,,-7373000000.0,8841000000.0,-16214000000.0,-38469000000.0,-39522000000.0,54459000000.0,54459000000.0,9270000000.0,,-5220000000.0,17058000000.0,11065000000.0,11065000000.0,3101000000.0,-5478000000.0,-5478000000.0,-693000000.0,4397000000.0,19471000000.0,19471000000.0,21192000000.0
META,14831000000.0,0.0,-754000000.0,29906000000.0,-21383000000.0,1285000000.0,39100000000.0,11941000000.0,27176000000.0,25149000000.0,25149000000.0,-2665000000.0,-1338000000.0,-1338000000.0,0.0,0.0,29152000000.0,,,29152000000.0,-754000000.0,29906000000.0,-34187000000.0,-34187000000.0,-405000000.0,-11537000000.0,3113000000.0,-14650000000.0,-21383000000.0,-21383000000.0,36214000000.0,36214000000.0,1664000000.0,-431000000.0,-272000000.0,4583000000.0,623000000.0,623000000.0,,-2475000000.0,-2475000000.0,37000000.0,5890000000.0,5411000000.0,5411000000.0,22768000000.0
NVDA,34904000000.0,-3815000000.0,0.0,,-1284000000.0,6979000000.0,10605000000.0,11486000000.0,-881000000.0,-6208000000.0,-6208000000.0,-2152000000.0,-242000000.0,-242000000.0,-3815000000.0,-3815000000.0,0.0,,,0.0,0.0,,-30861000000.0,-30861000000.0,,-16412000000.0,16928000000.0,-33340000000.0,-1284000000.0,-1284000000.0,36188000000.0,36188000000.0,-4325000000.0,533000000.0,,2117000000.0,1064000000.0,1064000000.0,-1621000000.0,-5074000000.0,-5074000000.0,-11000000.0,1633000000.0,812000000.0,812000000.0,42960000000.0
TSLA,1420000000.0,,-767000000.0,1354000000.0,-2393000000.0,,17616000000.0,19584000000.0,-2005000000.0,710000000.0,710000000.0,-23000000.0,,,,,587000000.0,,,587000000.0,-767000000.0,1354000000.0,-6528000000.0,-6528000000.0,,-4135000000.0,8072000000.0,-12207000000.0,-2393000000.0,-2393000000.0,3813000000.0,3813000000.0,-214000000.0,,-79000000.0,1397000000.0,,,-214000000.0,45000000.0,45000000.0,37000000.0,954000000.0,1643000000.0,1643000000.0,856000000.0
AVGO,8010000000.0,-7850000000.0,-3650000000.0,4474000000.0,-250000000.0,782000000.0,14174000000.0,16178000000.0,-2004000000.0,-10149000000.0,-10149000000.0,-37000000.0,-3086000000.0,,-7850000000.0,-7850000000.0,824000000.0,0.0,,824000000.0,-3650000000.0,4474000000.0,-115000000.0,-115000000.0,5000000.0,130000000.0,244000000.0,-114000000.0,-250000000.0,-250000000.0,8260000000.0,8260000000.0,-3105000000.0,,,534000000.0,534000000.0,534000000.0,-692000000.0,-1315000000.0,-1315000000.0,87000000.0,2176000000.0,2153000000.0,2153000000.0,7349000000.0
ORCL,-11484000000.0,-2000000.0,-71000000.0,26664000000.0,-18635000000.0,,38455000000.0,19241000000.0,19105000000.0,31498000000.0,31498000000.0,-12000000.0,-1437000000.0,-1437000000.0,7000000.0,-2000000.0,27986000000.0,1393000000.0,,26593000000.0,-71000000.0,26664000000.0,-19544000000.0,-19544000000.0,,-909000000.0,120000000.0,-1029000000.0,,,7151000000.0,7151000000.0,85000000.0,,,1502000000.0,1502000000.0,545000000.0,,-1301000000.0,-1301000000.0,,1328000000.0,2566000000.0,2566000000.0,3721000000.0
ADBE,2921000000.0,-2478000000.0,0.0,0.0,-37000000.0,125000000.0,6332000000.0,5431000000.0,888000000.0,-2544000000.0,-2544000000.0,-150000000.0,,,-2394000000.0,-2478000000.0,0.0,,,0.0,0.0,0.0,474000000.0,474000000.0,1000000.0,510000000.0,920000000.0,-410000000.0,-37000000.0,-37000000.0,2958000000.0,2958000000.0,276000000.0,,,-76000000.0,374000000.0,3000000.0,,252000000.0,252000000.0,46000000.0,509000000.0,174000000.0,174000000.0,1889000000.0
