日期,招商银行,沪深300指数
2017-01-03,17.96,3342.2272
2017-01-04,18.02,3368.3117
2017-01-05,18.1,3367.7892
2017-01-06,17.96,3347.6665
2017-01-09,17.94,3363.9014
2017-01-10,17.94,3358.2716
2017-01-11,17.96,3334.4954
2017-01-12,18.0,3317.6241
2017-01-13,18.22,3319.9122
2017-01-16,18.58,3319.4455
2017-01-17,18.45,3326.3563
2017-01-18,18.59,3339.3653
2017-01-19,18.52,3329.2891
2017-01-20,18.59,3354.8891
2017-01-23,18.5,3364.0808
2017-01-24,18.87,3364.4509
2017-01-25,18.88,3375.9042
2017-01-26,19.0,3387.9606
2017-02-03,18.7,3364.4923
2017-02-06,18.62,3373.2051
2017-02-07,18.57,3365.6849
2017-02-08,18.6,3383.2878
2017-02-09,18.73,3396.2924
2017-02-10,18.9,3413.4868
2017-02-13,18.97,3436.275
2017-02-14,18.87,3435.8042
2017-02-15,19.13,3421.7131
2017-02-16,19.14,3440.9331
2017-02-17,19.02,3421.4419
2017-02-20,19.4,3471.3926
2017-02-21,19.41,3482.823
2017-02-22,19.4,3489.7567
2017-02-23,19.38,3473.3236
2017-02-24,19.43,3473.8517
2017-02-27,19.41,3446.2228
2017-02-28,19.44,3452.8103
2017-03-01,19.34,3458.4376
2017-03-02,19.1,3435.0963
2017-03-03,19.01,3427.8628
2017-03-06,19.06,3446.484
2017-03-07,19.24,3453.9565
2017-03-08,19.29,3448.7313
2017-03-09,19.05,3426.9438
2017-03-10,18.91,3427.8916
2017-03-13,19.03,3458.098
2017-03-14,19.1,3456.6934
2017-03-15,19.01,3463.6436
2017-03-16,19.06,3481.5066
2017-03-17,18.81,3445.8051
2017-03-20,18.76,3449.6126
2017-03-21,18.76,3466.3468
2017-03-22,18.52,3450.0502
2017-03-23,18.64,3461.9782
2017-03-24,18.78,3489.5997
2017-03-27,19.1,3478.0385
2017-03-28,18.97,3469.8093
2017-03-29,19.09,3465.1933
2017-03-30,19.02,3436.758
2017-03-31,19.17,3456.0455
2017-04-05,19.07,3503.8932
2017-04-06,19.04,3514.0469
2017-04-07,18.89,3517.4634
2017-04-10,18.91,3505.1392
2017-04-11,19.02,3517.328
2017-04-12,19.05,3509.4387
2017-04-13,18.92,3514.5662
2017-04-14,18.82,3486.5045
2017-04-17,18.88,3479.9417
2017-04-18,18.6,3462.7429
2017-04-19,18.46,3445.8761
2017-04-20,18.39,3461.5481
2017-04-21,18.8,3466.7865
2017-04-24,18.91,3431.2587
2017-04-25,18.96,3440.9743
2017-04-26,19.11,3445.1832
2017-04-27,18.98,3446.7202
2017-04-28,19.13,3439.753
2017-05-02,19.01,3426.5766
2017-05-03,18.93,3413.1282
2017-05-04,18.75,3404.3864
2017-05-05,18.8,3382.5502
2017-05-08,18.79,3358.8125
2017-05-09,18.79,3352.5324
2017-05-10,19.02,3337.7007
2017-05-11,19.26,3356.6459
2017-05-12,20.34,3385.3787
2017-05-15,20.67,3399.1937
2017-05-16,20.49,3428.6491
2017-05-17,20.19,3409.9656
2017-05-18,20.25,3398.1127
2017-05-19,20.53,3403.8492
2017-05-22,20.89,3411.2387
2017-05-23,21.83,3424.194
2017-05-24,21.91,3424.1669
2017-05-25,22.95,3485.6581
2017-05-26,22.64,3480.4345
2017-05-31,22.42,3492.8845
2017-06-01,22.59,3497.7382
2017-06-02,22.16,3486.5074
2017-06-05,21.98,3468.7538
2017-06-06,21.93,3492.8816
2017-06-07,22.52,3533.8718
2017-06-08,22.74,3560.9786
2017-06-09,22.91,3576.1703
2017-06-12,22.84,3574.3894
2017-06-13,22.49,3582.2674
2017-06-14,21.3,3535.2987
2017-06-15,20.93,3528.7926
2017-06-16,20.81,3518.7611
2017-06-19,21.16,3553.6653
2017-06-20,21.08,3546.494
2017-06-21,21.31,3587.955
2017-06-22,22.73,3590.3425
2017-06-23,23.03,3622.8831
2017-06-26,23.04,3668.0919
2017-06-27,24.36,3674.7152
2017-06-28,23.8,3646.1666
2017-06-29,24.15,3668.8279
2017-06-30,23.91,3666.7977
2017-07-03,23.52,3650.8463
2017-07-04,23.0,3619.9841
2017-07-05,23.9,3659.6795
2017-07-06,23.96,3660.0967
2017-07-07,23.26,3655.9293
2017-07-10,23.26,3653.6868
2017-07-11,24.08,3670.8086
2017-07-12,24.34,3658.8236
2017-07-13,24.9,3686.9205
2017-07-14,25.18,3703.094
2017-07-17,25.11,3663.5575
2017-07-18,24.52,3667.1807
2017-07-19,25.22,3729.7466
2017-07-20,25.2,3747.8843
2017-07-21,24.74,3728.5976
2017-07-24,25.71,3743.4686
2017-07-25,25.53,3719.559
2017-07-26,25.46,3705.3884
2017-07-27,25.9,3712.1947
2017-07-28,25.78,3721.8914
2017-07-31,25.57,3737.8732
2017-08-01,26.14,3770.3828
2017-08-02,26.62,3760.8525
2017-08-03,25.89,3727.8264
2017-08-04,25.52,3707.5796
2017-08-07,25.98,3726.7948
2017-08-08,25.85,3732.2129
2017-08-09,25.54,3731.044
2017-08-10,25.14,3715.9208
2017-08-11,24.49,3647.3503
2017-08-14,24.8,3694.6831
2017-08-15,25.53,3706.0566
2017-08-16,25.17,3701.4207
2017-08-17,25.06,3721.277
2017-08-18,25.42,3724.6748
2017-08-21,25.3,3740.9941
2017-08-22,25.89,3752.298
2017-08-23,26.52,3756.0884
2017-08-24,26.69,3734.6458
2017-08-25,27.53,3795.7544
2017-08-28,27.24,3842.7119
2017-08-29,27.14,3834.5376
2017-08-30,27.16,3834.3005
2017-08-31,26.75,3822.0928
2017-09-01,26.76,3830.5383
2017-09-04,26.96,3845.6163
2017-09-05,27.34,3857.0464
2017-09-06,26.88,3849.4499
2017-09-07,26.35,3829.8713
2017-09-08,26.38,3825.9895
2017-09-11,26.18,3825.6453
2017-09-12,26.44,3837.9341
2017-09-13,26.17,3842.6061
2017-09-14,25.86,3829.9554
2017-09-15,25.97,3831.2965
2017-09-18,25.76,3843.1428
2017-09-19,26.17,3832.1161
2017-09-20,25.89,3842.4353
2017-09-21,26.06,3837.8176
2017-09-22,25.95,3837.7304
2017-09-25,25.81,3817.7915
2017-09-26,25.71,3820.7816
2017-09-27,25.4,3821.2
2017-09-28,25.2,3822.5386
2017-09-29,25.55,3836.5013
2017-10-09,26.08,3882.2076
2017-10-10,26.12,3889.8637
2017-10-11,26.04,3902.6868
2017-10-12,26.37,3912.9536
2017-10-13,26.2,3921.0017
2017-10-16,26.87,3913.4462
2017-10-17,27.03,3913.0688
2017-10-18,27.11,3944.1626
2017-10-19,27.1,3931.2495
2017-10-20,26.77,3926.852
2017-10-23,26.5,3930.7981
2017-10-24,26.62,3959.3953
2017-10-25,26.8,3976.949
2017-10-26,26.55,3993.5752
2017-10-27,28.1,4021.9676
2017-10-30,27.79,4009.7218
2017-10-31,27.1,4006.7179
2017-11-01,26.9,3996.6221
2017-11-02,27.01,3997.1343
2017-11-03,27.06,3992.6979
